,Unnamed: 0,label,judul_clean,narasi_clean,stem_narasi,stem_judul,freq_tokens
0,0,1,pemakaian masker menyebabkan penyakit legionnair,caller tapi radio talk show recent share that hi wife wa hospit told she had covid onli coupl of day left tapi live doctor friend suggest she be test for legionnair diseas becaus she wore the same mask everi day all day long turn out itu wa legionnair diseas from the moistur bacteria ini her mask she wa given antibiot within two day wa better what if these spike ini covid are realli someth els due tapi mask induc infect,"['caller', 'tapi', 'radio', 'talk', 'show', 'recent', 'share', 'that', 'hi', 'wife', 'wa', 'hospit', 'told', 'she', 'had', 'covid', 'onli', 'coupl', 'of', 'day', 'left', 'tapi', 'live', 'doctor', 'friend', 'suggest', 'she', 'be', 'test', 'for', 'legionnair', 'diseas', 'becaus', 'she', 'wore', 'the', 'same', 'mask', 'everi', 'day', 'all', 'day', 'long', 'turn', 'out', 'itu', 'wa', 'legionnair', 'diseas', 'from', 'the', 'moistur', 'bacteria', 'ini', 'her', 'mask', 'she', 'wa', 'given', 'antibiot', 'within', 'two', 'day', 'wa', 'better', 'what', 'if', 'these', 'spike', 'ini', 'covid', 'are', 'realli', 'someth', 'els', 'due', 'tapi', 'mask', 'induc', 'infect']","['pemakaian', 'masker', 'menyebabkan', 'penyakit', 'legionnair']",<FreqDist with 62 samples and 80 outcomes>
1,1,1,instruksi gubernur jateng penilangan yang bermask muka rp etilang via app pikobar,ythseluruh anggota grup sesuai instruksi gubernur jawa hasil rapat tim gugu tuga covid jateng sebab,"['ythseluruh', 'anggota', 'grup', 'sesuai', 'instruksi', 'gubernur', 'jawa', 'hasil', 'rapat', 'tim', 'gugu', 'tuga', 'covid', 'jateng', 'sebab']","['instruksi', 'gubernur', 'jateng', 'penilangan', 'yang', 'bermask', 'muka', 'rp', 'etilang', 'via', 'app', 'pikobar']",<FreqDist with 15 samples and 15 outcomes>
2,2,1,foto jim rohn jokowi presiden terbaik dalam sejarah bangsa indonesia,jokowi presiden terbaik dalam sejarah bangsa indonesia jim rohn motiv terbaik dunia,"['jokowi', 'presiden', 'terbaik', 'dalam', 'sejarah', 'bangsa', 'indonesia', 'jim', 'rohn', 'motiv', 'terbaik', 'dunia']","['foto', 'jim', 'rohn', 'jokowi', 'presiden', 'terbaik', 'dalam', 'sejarah', 'bangsa', 'indonesia']",<FreqDist with 11 samples and 12 outcomes>
3,3,1,politik kenyataan jokowi berhasil memulangkan triliun uang negara swiss,maaf ma mbak politik kenyataan jokowi berhasil memulangkan triliun uang negara swiss ribu triliun bawa indonesiaruu treati on mutual legal assist ini crimin matter between the republ of indonesia and the swiss confeder mla riswiss resmi disahkan dpr ri tanggal juli prose konstitusi menarik dana swiss selesai perjuangan menghadapi ex koruptor bersenggama agama terimakasih kadrun nyinyirian uang triliun indonesia nyinyir sulit ruu disahkan dpr pemilik reken gendut gigit jari tekanan jokowi kencang baca beritanya,"['maaf', 'ma', 'mbak', 'politik', 'kenyataan', 'jokowi', 'berhasil', 'memulangkan', 'triliun', 'uang', 'negara', 'swiss', 'ribu', 'triliun', 'bawa', 'indonesiaruu', 'treati', 'on', 'mutual', 'legal', 'assist', 'ini', 'crimin', 'matter', 'between', 'the', 'republ', 'of', 'indonesia', 'and', 'the', 'swiss', 'confeder', 'mla', 'riswiss', 'resmi', 'disahkan', 'dpr', 'ri', 'tanggal', 'juli', 'prose', 'konstitusi', 'menarik', 'dana', 'swiss', 'selesai', 'perjuangan', 'menghadapi', 'ex', 'koruptor', 'bersenggama', 'agama', 'terimakasih', 'kadrun', 'nyinyirian', 'uang', 'triliun', 'indonesia', 'nyinyir', 'sulit', 'ruu', 'disahkan', 'dpr', 'pemilik', 'reken', 'gendut', 'gigit', 'jari', 'tekanan', 'jokowi', 'kencang', 'baca', 'beritanya']","['politik', 'kenyataan', 'jokowi', 'berhasil', 'memulangkan', 'triliun', 'uang', 'negara', 'swiss']",<FreqDist with 64 samples and 74 outcomes>
4,4,1,foto kadrun kalo lihat foto pana dingin,kadrun kalo lihat foto pana dingin,"['kadrun', 'kalo', 'lihat', 'foto', 'pana', 'dingin']","['foto', 'kadrun', 'kalo', 'lihat', 'foto', 'pana', 'dingin']",<FreqDist with 6 samples and 6 outcomes>
5,5,1,event promo smartphon jne spesial juni,selamat siang teman teman fb ku semuanyacuman informasi rezeki enggak kemana ya kemarin mengikuti event promo smartphon jne spesial juni mesan smartphon vivo pro cuman seharga rpgak menyangka seharga rp hp vivo pro teman teman fb ku yang penasaran ikutan inbox saja wa adminnya,"['selamat', 'siang', 'teman', 'teman', 'fb', 'ku', 'semuanyacuman', 'informasi', 'rezeki', 'enggak', 'kemana', 'ya', 'kemarin', 'mengikuti', 'event', 'promo', 'smartphon', 'jne', 'spesial', 'juni', 'mesan', 'smartphon', 'vivo', 'pro', 'cuman', 'seharga', 'rpgak', 'menyangka', 'seharga', 'rp', 'hp', 'vivo', 'pro', 'teman', 'teman', 'fb', 'ku', 'yang', 'penasaran', 'ikutan', 'inbox', 'saja', 'wa', 'adminnya']","['event', 'promo', 'smartphon', 'jne', 'spesial', 'juni']",<FreqDist with 35 samples and 44 outcomes>
6,6,1,menguasai negeri,lihatlah menguasai negeri,"['lihatlah', 'menguasai', 'negeri']","['menguasai', 'negeri']",<FreqDist with 3 samples and 3 outcomes>
7,7,1,foto presiden italia menangi lahan mengubur an korban corona,italia fasilita perawatan kesehatan tercanggih gagal mengendalikan corona dianggap lelucon presiden menangi lahan mengubur an korban corona,"['italia', 'fasilita', 'perawatan', 'kesehatan', 'tercanggih', 'gagal', 'mengendalikan', 'corona', 'dianggap', 'lelucon', 'presiden', 'menangi', 'lahan', 'mengubur', 'an', 'korban', 'corona']","['foto', 'presiden', 'italia', 'menangi', 'lahan', 'mengubur', 'an', 'korban', 'corona']",<FreqDist with 16 samples and 17 outcomes>
8,8,1,kapolr timor utara nusa tenggara timur klarifikasi terkait video polisi diamkan korban kecelakaan,polisi goblok bukanya cepat tolongin liati saja,"['polisi', 'goblok', 'bukanya', 'cepat', 'tolongin', 'liati', 'saja']","['kapolr', 'timor', 'utara', 'nusa', 'tenggara', 'timur', 'klarifikasi', 'terkait', 'video', 'polisi', 'diamkan', 'korban', 'kecelakaan']",<FreqDist with 7 samples and 7 outcomes>
9,9,1,video polisi china menganiaya wanita uighur lehernya cekik pakai kaki,polisi china menganiaya wanita uighur lehernya cekik pakai kaki melek itu yang bilang penganiayaan ham diam seribu bahasa polisi lihat giliran orang biadab,"['polisi', 'china', 'menganiaya', 'wanita', 'uighur', 'lehernya', 'cekik', 'pakai', 'kaki', 'melek', 'itu', 'yang', 'bilang', 'penganiayaan', 'ham', 'diam', 'seribu', 'bahasa', 'polisi', 'lihat', 'giliran', 'orang', 'biadab']","['video', 'polisi', 'china', 'menganiaya', 'wanita', 'uighur', 'lehernya', 'cekik', 'pakai', 'kaki']",<FreqDist with 22 samples and 23 outcomes>
